keyword,link,position
fitness training,https://optimumfitnesstraining.com/,6
fitness training,https://www.instagram.com/effective.fitnesstraining/?hl=en,7
fitness training,https://www.pulsefitnesstraining.com/,8
fitness training,https://jabfitnesstraining.com/,9
fitness training,https://www.equinox.com/,10
fitness training,https://www.brookdalecc.edu/continuinged/healthcare/fitness-training/,11
fitness training,https://www.nerdfitness.com/,12
fitness training,https://www.effective.fitness/,13
nutrition,https://www.nutrition.gov/,1
nutrition,https://www.hsph.harvard.edu/nutritionsource/,2
nutrition,https://www.who.int/health-topics/nutrition,3
nutrition,https://medlineplus.gov/nutrition.html,4
nutrition,https://www.cdc.gov/nutrition/index.html,5
nutrition,https://nutrition.org/,6
nutrition,https://www.healthline.com/nutrition,7
nutrition,https://www.eatright.org/,8
nutrition,https://nutritionfacts.org/,9
nutrition,https://www.fda.gov/food/new-nutrition-facts-label/how-understand-and-use-nutrition-facts-label,10
nutrition,https://en.wikipedia.org/wiki/Nutrition,11
healthy lifestyle,https://www.health.harvard.edu/blog/healthy-lifestyle-5-keys-to-a-longer-life-2018070514186,1
healthy lifestyle,https://www.heart.org/en/healthy-living/healthy-lifestyle,2
healthy lifestyle,https://www.healthline.com/health/fitness-nutrition/healthy-lifestyle-benefits,3
healthy lifestyle,https://www.mayoclinic.org/healthy-lifestyle,4
healthy lifestyle,https://www.webmd.com/diet/features/4-steps-healthy-lifestyle,5
healthy lifestyle,https://fsph.iupui.edu/doc/10-Tips-Healthy-Lifestyle.pdf,6
healthy lifestyle,https://www.foundationforpn.org/living-well/lifestyle/,7
healthy lifestyle,https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/7-tips-to-live-a-happier-life,8
healthy lifestyle,https://www.verywellfit.com/simple-ways-to-live-a-healthy-lifestyle-1231193,9
healthy lifestyle,https://www.hhs.gov/programs/prevention-and-wellness/healthy-lifestyle/index.html,10
healthy lifestyle,https://bouldersausage.com/healthy-living/what-is-a-healthy-lifestyle/,11
healthy lifestyle,https://health.williams.edu/healthy-eating/living-a-healthy-lifestyle/,12
healthy lifestyle,https://www.niddk.nih.gov/health-information/diet-nutrition/changing-habits-better-health,13
travel,https://www.travelvoyages.net/,1
travel,https://www.larousse.fr/dictionnaires/anglais-francais/travel/619544,2
travel,https://www.traveltour.fr/,3
travel,https://dictionary.cambridge.org/fr/dictionnaire/anglais-francais/travel,4
travel,https://www.wordreference.com/enfr/travel,5
travel,https://fr.bab.la/dictionnaire/anglais-francais/travel,6
travel,https://www.traveleurope.cc/fr/,7
travel,https://www.decathlontravel.com/voyages,8
travel,https://www.linguee.fr/anglais-francais/traduction/travel.html,9
travel,https://www.tom.travel/,10
travel,https://www.travel-me-happy.com/,11
travel,https://fr.wiktionary.org/wiki/travel,12
travel,https://www.travelforyou.fr/,13
fashion,https://www.fashionmagazine.it/,1
fashion,https://www.vanityfair.it/fashion,2
fashion,https://it.fashionnetwork.com/,3
fashion,https://www.vogue.it/moda,4
fashion,http://www.fashionmodel.it/,5
fashion,https://www.treccani.it/vocabolario/fashion/,6
fashion,https://dizionari.corriere.it/dizionario_italiano/F/fashion.shtml,7
fashion,https://it.fashion-market.it/novita,8
fashion,https://it.wiktionary.org/wiki/fashion,9
fashion,https://it.wikipedia.org/wiki/Fashion,10
fashion,https://www.mffashion.com/,11
fashion,https://www.julian-fashion.com/,12
fashion,https://www.imperialfashion.com/fr/fr/imperial-fashion,1
fashion,https://www.wefashion.fr/,2
fashion,https://bigfabfashion.com/,3
fashion,https://www.jaimemonpatrimoine.fr/fr/module/81/1959/l-origine-du-mot-fashion,4
fashion,https://www.istanbulfashioncenter.com/fr,5
fashion,https://www.zalando.fr/vetements/we-fashion/,6
fashion,https://www.culture.gouv.fr/en/Thematic/Mode/Fashion-in-France,7
fashion,https://thefashionpact.org/,8
fashion,https://www.lalanguefrancaise.com/dictionnaire/definition/fashion,9
fashion,https://www.fashiongreenhub.org/l-association/,10
fashion,https://www.dsfashion.fr/,11
fashion,https://www.matchesfashion.com/fr/,12
fashion,https://www.lemonde.fr/fashion-week/,13
fashion,https://www.infor.com/fr-fr/products/cloudsuite-fashion,14
beauty,https://beautygroup.lt/,1
beauty,https://inbeauty.lt/,2
beauty,https://beautyandyou.lt/,3
beauty,https://www.kristinabeauty.eu/,4
beauty,https://driubeauty.lt/,5
beauty,https://www.cultbeauty.com/,6
beauty,https://www.makemyday.lt/jcat-beauty,7
beauty,https://www.medicalbeauty.lt/,8
beauty,https://beautychest.lt/,9
beauty,https://www.beautycenter.lt/,10
beauty,https://www.treatwell.lt/salonas/beauty-by-ausrine/,11
beauty,https://www.beautybay.com/fr/l/makeup/,1
beauty,https://www.instagram.com/beautysuccessfrance/?hl=fr,2
beauty,https://thebeautystore.fr/,3
beauty,https://www.sephora.fr/RARE-HubPage.html,4
beauty,https://www.yslbeauty.fr/,5
beauty,https://demainbeauty.com/,6
beauty,https://www.beautygarden.com/,7
beauty,https://www.bananabeauty.fr/,8
beauty,https://beautycosmetics.fr/,9
beauty,https://www.revolutionbeauty.com/intl/fr/home,10
beauty,https://www.yesstyle.com/fr/k-beauty,11
beauty,https://www.niche-beauty.com/fr-de,12
beauty,https://monbeautycoach.com/collections/serums,13
beauty,https://www.monochrome-beauty.com/,14
home decor,https://www.homedecor-shop.it/,1
home decor,https://www.amazon.it/home-decor/s?k=home+decor,2
home decor,https://www.homedecorshop.it/,3
home decor,https://www.livingdeco.it/it/home-decor/,4
home decor,https://www.pinterest.it/dettaglihomedecorMag/home-decor/,5
home decor,http://www.homedecor.it/,6
home decor,https://designitaly.com/it/collections/home-decor,7
home decor,https://restylit.com/categoria-prodotto/home-decor-online/,8
home decor,https://blog.infabbrica.com/home-decor-arredamento-casa/,9
home decor,https://dettaglihomedecor.com/,10
home decor,https://context.reverso.net/traduzione/inglese-italiano/home+decor,11
home decor,https://www.decor-home.it/,12
home decor,https://www.gruppomaruccia.com/articoli-per-la-casa/oggettistica-e-home-decor.html,13
home decor,https://www.amazon.fr/Home-Decoration/s?k=Home+Decoration,1
home decor,https://fr.shein.com/category/HOME-DECOR-sc-00815288.html,2
home decor,https://www.cdiscount.com/m-30928-home-decor.html,3
home decor,https://www.overstock.com/Home-Garden/Home-Decor/3/dept.html,4
home decor,https://homeetdecoration.com/,5
home decor,https://www.lowes.com/c/Home-decor,6
home decor,https://rouen.fr/boutique/home-decor-inspiration,7
home decor,https://www.kirklands.com/,8
home decor,https://www.target.com/c/home-decor/-/N-5xtub,9
home decor,https://www.ikea.com/us/en/cat/home-decor-de001/,10
home decor,https://www.homedecos.fr/,11
home decor,https://www2.hm.com/fr_fr/maison.html,12
home decor,https://www.biglots.com/c/home-decor/_/N-1804466709,13
home decor,https://www.decor-home-sud-ouest.fr/,14
pet care,https://petcareitaly.com/,1
pet care,https://www.oscarpetagency.com/pet-care/,2
pet care,https://www.purina.it/scuola-pet-care,3
pet care,https://www.linguee.it/inglese-italiano/traduzione/pet+care.html,4
pet care,https://it.bab.la/dizionario/inglese-italiano/pet-care,5
pet care,https://www.petcareclinicavet.it/,6
pet care,https://it-it.facebook.com/petcare82/,7
pet care,https://www.bortolato.eu/38-pet-care,8
pet care,https://context.reverso.net/traduzione/inglese-italiano/pet+care,9
pet care,https://www.area-dog.it/pet-care/,10
pet care,https://www.cosmofarma.com/it/initiative/pet-care/,11
pet care,https://www.lifepetcare.it/,12
pet care,https://ilfattoalimentare.it/pet-food-pet-care-paradosso.html,13
pet care,https://ita.mars.com/it/prodotti-mars/petcare?language_content_entity=it,14
pet care,https://www.polytrans.fr/accessoires-animaux-de-marque/swiss-pet-care.html,1
pet care,https://www.myvetshop.fr/brand/116-nestle-purina-pet-care,2
pet care,https://www.farmina.com/fr/pet-care.html,3
pet care,https://observatoirecetelem.com/les-zooms/enquete-3-3-pet-care-de-lalimentation-aux-accessoires-en-passant-par-les-assurances-quel-business-autour-des-animaux-domestiques,4
pet care,https://m.facebook.com/people/Deuerer-Pet-Care-France/100083080401450/,5
pet care,https://cbweed.fr/categorie-de-produit/cbd-pet-care/,6
pet care,https://fra.mars.com/mars-et-ses-marques/petcare?language_content_entity=fr,7
pet care,https://nutz.pet/,8
pet care,https://fr.linkedin.com/company/oem-pet-care?trk=public_profile_experience-item_profile-section-card_subtitle-click,9
pet care,https://fr.freepik.com/photos-vecteurs-libre/pet-care,10
pet care,https://ourgeneration.eu/fr/products/pet-care-playset-bd37327,11
pet care,https://www.carrefour.fr/p/frontline-pet-care-chiens-chats-gel-protection-cutanee-100-ml-3661103051091,12
gardening,https://en.wikipedia.org/wiki/Gardening,1
gardening,https://www.gardendesign.com/how-to/,2
gardening,https://www.gardeningknowhow.com/,3
gardening,https://www.rhs.org.uk/advice/beginners-guide,4
gardening,https://www.thespruce.com/gardening-basics-4127766,5
gardening,https://www.britannica.com/science/gardening,6
gardening,https://www.gardenersworld.com/how-to/gardening-for-beginners/,7
gardening,https://www.countryliving.com/gardening/,8
gardening,https://www.bhg.com/gardening/,9
gardening,https://www.marthastewart.com/1504574/gardening,10
crafts,https://www.linguee.fr/anglais-francais/traduction/crafts.html,1
crafts,https://context.reverso.net/traduction/anglais-francais/crafts,2
crafts,https://www.wordreference.com/enfr/craft,3
crafts,https://www.larousse.fr/dictionnaires/anglais-francais/craft/572981,4
crafts,https://www.etsy.com/fr/market/crafts,5
crafts,https://www.amazon.fr/craft-kit/s?k=craft+kit,6
crafts,https://fr.pons.com/traduction/anglais-fran%C3%A7ais/crafts,7
crafts,https://www.pinterest.fr/lepetitmanuel/id%C3%A9es-dactivit%C3%A9s-craft-ideas-others/,8
crafts,https://www.editions-norma.com/products/crafts-anthologie-contemporaine-pour-un-artisanat-de-demain,9
crafts,https://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw?gl=FR&hl=fr,10
crafts,https://dictionary.cambridge.org/fr/dictionnaire/anglais-francais/craft,11
crafts,https://www.culture.gouv.fr/en/Thematic/Crafts,12
crafts,https://fr.wiktionary.org/wiki/craft,13
crafts,https://www.youtube.com/channel/UCmKK6zNk7PE4p0vj7EcEP_A,1
crafts,https://fr.wiktionary.org/wiki/crafts,2
crafts,https://fr.wikipedia.org/wiki/Arts_and_Crafts_Movement,3
crafts,https://www.livingcrafts.de/fr,4
crafts,https://www.culture.gouv.fr/en/Thematic/Crafts/Crafts-in-France,5
crafts,https://craftsrecords.org/,6
crafts,https://highlightcrafts.com/,7
crafts,https://www.craftscouncil.org.uk/,8
crafts,https://craftsandco.eu/fr/,9
crafts,https://www.casadeco.com/fr/collections/single/view/id/5130/arts-&-crafts,10
crafts,http://geek-crafts.fr/,11
crafts,https://www.carnationcrafts.co.uk/,12
crafts,https://www.du-grand-art.fr/arts-decoratifs/19eme-siecle/arts-crafts/,13
crafts,https://99designs.fr/blog/art-et-illustration/le-mouvement-arts-and-crafts/,14
DIY,https://www.diy.fr/,1
DIY,https://www.pinterest.fr/decofr/diy-do-it-yourself/,2
DIY,https://www.maisoncreative.com/diy,3
DIY,https://www.cotemaison.fr/tous-nos-diy-do-it-yourself-scrapbooking-loisirs-creatifs-petits-bricolages_17978.html,4
DIY,"https://www.creavea.com/modele-conseils-decoration,35.html",5
DIY,https://bricoleurpro.ouest-france.fr/dossier-324-do-it-yourself.html,6
DIY,https://www.linguee.fr/anglais-francais/traduction/diy.html,7
DIY,https://www.zodio.fr/fiches-deco,8
DIY,"https://www.marieclaire.fr/idees/diy-deco,2615455.asp1",9
DIY,https://www.alfaliquid.com/fr/diy,10
DIY,https://www.elle.fr/Deco/Pratique/DIY,11
DIY,https://www.leroymerlin.fr/tutos-conseils/tutos/tutos-creatifs-et-diy/,12
DIY,https://fr.wikipedia.org/wiki/Do_it_yourself,13
DIY,https://diy.bostik.com/fr-FR,14
DIY,https://fr.bab.la/dictionnaire/anglais-francais/diy,1
DIY,https://www.cultura.com/tutos-diy.html,2
DIY,https://i-make.com/,3
DIY,https://shakemyblog.fr/category/diy/,4
DIY,https://www.truffaut.com/diy.html,5
DIY,https://www.youtube.com/watch?v=1Mn8du5gT1k,6
DIY,https://www.deco.fr/loisirs-creatifs,7
DIY,http://www.lafabriquediy.com/,8
DIY,https://www.aromes-et-liquides.fr/743-pack-decouverte-al,9
DIY,http://www.lemeilleurdudiy.com/diy-mais-cest-quoi/,10
DIY,https://www.westwing.fr/inspiration/astuces-deco/diy-bricolage/,11
DIY,https://www.france-diy.com/,12
DIY,https://www.lepetitvapoteur.com/fr/recette-diy,13
photography,https://en.wikipedia.org/wiki/Photography,1
photography,https://unsplash.com/s/photos/photography,2
photography,https://photographylife.com/what-is-photography,3
photography,https://www.pexels.com/search/photography/,4
photography,https://www.amazon.it/photography/s?k=photography&page=2,5
photography,https://www.adobe.com/it/creativecloud/photography.html,6
photography,https://www.wordreference.com/enit/photography,7
photography,https://dictionary.cambridge.org/it/dizionario/inglese/photography,8
photography,https://loeildelaphotographie.com/en/,9
photography,https://www.facebook.com/groups/urbanstreetphotographygroup/,10
photography,https://www.vogue.it/fotografia,11
photography,https://www.worldphoto.org/it,12
photography,https://www.worldpressphoto.org/,13
film making,https://en.wikipedia.org/wiki/Filmmaking,1
film making,https://www.nyfa.edu/student-resources/the-beginners-guide-to-the-filmmaking-process/,2
film making,https://www.learnaboutfilm.com/making-a-film/organising-filmmaking-process/,3
film making,http://www.historyoffilm.net/film-making/film-production-filmmaking/,4
film making,https://www.linkedin.com/learning/topics/filmmaking,5
film making,https://www.udemy.com/topic/filmmaking/,6
film making,https://www.careersinfilm.com/film-production/,7
film making,https://www.futurelearn.com/courses/explore-filmmaking,8
film making,https://www.coursera.org/courses?query=film%20making,9
film making,https://www.kingston.ac.uk/postgraduate/courses/film-making-ma/,10
film making,https://www.merriam-webster.com/dictionary/filmmaking,11
film making,https://www.newschool.edu/undergrad-minors/film-production/,12
film making,https://wolfcrow.com/what-is-filmmaking/,13
music production,https://online.berklee.edu/takenote/music-production-what-does-a-music-producer-do/,1
music production,https://musictech.com/guides/essential-guide/beginners-guide-music-production/,2
music production,https://www.musicgateway.com/blog/music-production/music-production,3
music production,https://www.universalproductionmusic.com/fr-fr,4
music production,https://livemusic.ch/,5
music production,https://www.bmgproductionmusic.fr/,6
music production,https://blog.landr.com/music-production/,7
music production,https://abbeyroadinstitute.fr/formation/advanced-diploma-in-music-production-and-sound-engineering/,8
music production,https://www.worldmusicproduction.org/,9
music production,https://en.wikipedia.org/wiki/Record_producer,10
music production,https://www.sae.edu/bel/fr/programmes/certificat-electronic-music-production/,11
music production,https://fr.fiverr.com/gigs/music-production,12
music production,https://www.ead-music-production.com/,13
music production,https://waveproduction.academy/,1
music production,https://musictech.com/guides/essential-guide/beginners-guide-music-production/,2
music production,https://www.ableton.com/,3
music production,https://it.linkedin.com/company/music-production,4
music production,https://www4.ceda.polimi.it/manifesti/manifesti/controller/ManifestoPublic.do?EVN_DETTAGLIO_RIGA_MANIFESTO=evento&aa=2019&k_cf=225&k_corso_la=263&k_indir=MMI&codDescr=054278&lang=IT&semestre=1&anno_corso=2&idItemOfferta=143939&idRiga=244578,5
music production,https://www.amazon.it/Secrets-Dance-Music-Production/product-reviews/0956446035,6
music production,https://www.steinberg.net/cubase/,7
music production,https://www.univpm.it/Entra/Corso_di_perfezionamento_in_computer_music_production_sound_design_1,8
music production,https://www.rockit.it/lotusmusicproduction,9
music production,https://www.scuolecepam.it/music-production-lab/,10
music production,https://www.soundtrap.com/,11
music production,http://soundmusicproduction.com/it/,12
music production,https://www.image-line.com/,13
podcasting,https://it.wikipedia.org/wiki/Podcasting,1
podcasting,https://www.keymotions.it/podcasting-significato-e-utilizzo/,2
podcasting,https://www.podcastinsights.com/it/start-a-podcast/,3
podcasting,https://www.treccani.it/vocabolario/podcasting_%28Neologismi%29/,4
podcasting,https://www.digital4.biz/executive/podcast-che-cosa-sono-e-come-ascoltarli/,5
podcasting,https://www.monclick.it/magazine/podcast-cos-significato-storia-e-come-funziona,6
podcasting,https://www.iltascabile.com/linguaggi/cose-un-podcast/,7
podcasting,https://www.html.it/guide/guida-podcasting/,8
podcasting,https://almed.unicatt.it/almed-corsi-di-alta-formazione-come-diventare-podcaster-di-successo,9
podcasting,https://scuolafutura.pubblica.istruzione.it/podcasting-e-didattica-quali-possibilit%C3%A0-,10
podcasting,https://podcasters.spotify.com/,11
podcasting,https://support.google.com/podcast-publishers/answer/9476656?hl=it,12
podcasting,https://dizionari.repubblica.it/Italiano/P/podcasting.html,1
podcasting,https://www.consulenzaradiofonica.com/il-podcasting-la-nuova-frontiera-dellintrattenimento-radiofonico/,2
podcasting,https://www.assipod.org/,3
podcasting,https://www.youtube.com/watch?v=MhPKbc3SKbQ,4
podcasting,https://www.meltemieditore.it/catalogo/podcasting/,5
podcasting,https://support.google.com/podcast-publishers/answer/10528135?hl=it,6
podcasting,https://rcsacademy.corriere.it/module/storytelling-scrittura-creativa-e-podcasting/,7
podcasting,https://www.giurisprudenza.unito.it/do/corsi.pl/Show?_id=bfla,8
podcasting,https://www.techtarget.com/searchunifiedcommunications/definition/podcasting,9
podcasting,https://www.mediakey.tv/leggi-news/spreaker-la-piattaforma-leader-per-il-podcasting-a-livello-professionale-e-da-oggi-disponibile-gratuitamente,10
podcasting,https://play.google.com/store/apps/details?id=uk.co.bbc.perceptivepodcasts&hl=it&gl=US,11
podcasting,https://www.amazon.it/Podcasting-radio-contenuto-ritorna-sul-ebook/dp/B07YYJ7HXB,12
podcasting,https://www.radiospeaker.it/corsi/creare-podcast/,13
podcasting,https://www.tesionline.it/approfondimenti/podcasting-un-opportunit%C3%A0-per-la-radiofonia-nazionale-o-per-gli-utenti-amatoriali-/190,14
creative writing,https://it.wikipedia.org/wiki/Scrittura_creativa,1
creative writing,https://oxfordsummercourses.com/articles/what-is-creative-writing/,2
creative writing,https://www.amazon.it/creative-writing/s?k=creative+writing,3
creative writing,https://www.coursera.org/specializations/creative-writing,4
creative writing,https://blog.reedsy.com/guide/creative-writing/,5
creative writing,https://www.loescher.it/dettaglio/opera/O_H504999/Creative-Writing,6
creative writing,https://www.masterclass.com/articles/tips-for-getting-started-with-creative-writing,7
creative writing,https://dictionary.cambridge.org/it/dizionario/inglese/creative-writing,8
creative writing,https://www.grammarly.com/blog/creative-writing/,9
creative writing,https://www.creative-writing-now.com/,10
creative writing,https://www.wordreference.com/enit/creative%20writing,11
creative writing,https://brilliantio.com/why-creative-writing-is-important/,12
creative writing,https://www.creativewritingnews.com/,13
creative writing,https://www.classcentral.com/report/best-creative-writing-courses/,1
creative writing,https://www.johncabot.edu/creative-writing-institute/default.aspx,2
creative writing,https://www.skillshare.com/en/browse/creative-writing,3
creative writing,https://learn.utoronto.ca/programs-courses/creative-writing,4
creative writing,https://geo.uoregon.edu/programs/europe-italy/creative-writing-tuscany,5
creative writing,https://www.open.ac.uk/courses/creative-writing,6
creative writing,https://www.annafreud.org/on-my-mind/self-care/creative-writing/,7
creative writing,https://study.com/academy/lesson/what-is-creative-writing-definition-types-examples.html,8
creative writing,https://arts.princeton.edu/academics/creative-writing/,9
creative writing,https://www.prospects.ac.uk/careers-advice/what-can-i-do-with-my-degree/creative-writing,10
creative writing,https://www.universityofgalway.ie/courses/undergraduate-courses/english-and-creative-writing.html,11
creative writing,https://www.concordia.ca/academics/undergraduate/creative-writing.html,12
creative writing,https://www.youtube.com/watch?v=6S7yB12Gjxs,13
fiction writing,https://www.masterclass.com/articles/elements-of-good-fiction-writing,1
fiction writing,https://www.theguardian.com/books/2010/feb/20/ten-rules-for-writing-fiction-part-one,2
fiction writing,https://writers.com/how-to-start-writing-fiction,3
fiction writing,https://www.linguee.fr/anglais-francais/traduction/fiction+writing.html,4
fiction writing,https://www.artisansdelafiction.com/le-creative-writing/,5
fiction writing,https://owl.purdue.edu/owl/subject_specific_writing/creative_writing/fiction_writing_basics/index.html,6
fiction writing,https://www.futurelearn.com/courses/start-writing-fiction,7
fiction writing,https://quillbot.com/courses/introduction-to-creative-writing/chapter/lesson-3-elements-of-a-fiction/,8
fiction writing,https://www.amazon.fr/Writing-Fiction-Dummies-Randy-Ingermanson/dp/0470530707,9
fiction writing,https://www.advancedfictionwriting.com/,10
non-fiction writing,https://www.ingramspark.com/blog/how-to-write-a-nonfiction-book-guide-for-authors,1
non-fiction writing,https://www.masterclass.com/articles/how-to-write-a-nonfiction-book,2
non-fiction writing,https://www.indeed.com/career-advice/career-development/types-of-nonfiction,3
non-fiction writing,https://prowritingaid.com/rules-for-non-fiction-writing,4
non-fiction writing,https://www.nytimes.com/2018/12/10/smarter-living/how-to-finally-write-your-nonfiction-book.html,5
non-fiction writing,https://www.udemy.com/course/writing-non-fiction/,6
non-fiction writing,https://blog.reedsy.com/guide/nonfiction/how-to-write-a-nonfiction-book/,7
non-fiction writing,https://en.wikipedia.org/wiki/Non-fiction,8
non-fiction writing,https://www.domestika.org/en/courses/area/211-non-fiction-writing,9
non-fiction writing,https://thewritelife.com/nonfiction-writing-techniques/,10
non-fiction writing,https://selfpublishing.com/how-to-write-a-nonfiction-book/,11
non-fiction writing,https://www.thecreativepenn.com/2018/11/21/writing-tips-7-mistakes-first-time-nonfiction-authors-make/,12
non-fiction writing,https://writers.com/types-of-nonfiction,13
journalism,https://en.wikipedia.org/wiki/Journalism,1
journalism,https://dictionary.cambridge.org/it/dizionario/inglese/journalism,2
journalism,https://www.britannica.com/topic/journalism,3
journalism,https://www.americanpressinstitute.org/journalism-essentials/what-is-journalism/,4
journalism,https://journals.sagepub.com/home/jou,5
journalism,https://context.reverso.net/traduzione/inglese-italiano/journalism,6
journalism,https://www.unimi.it/it/corsi/insegnamenti-dei-corsi-di-laurea/2023/journalismmedia-and-politics,7
journalism,https://dizionari.corriere.it/dizionario_inglese/Inglese/J/journalism.shtml,8
journalism,https://www.wordreference.com/enit/journalism,9
journalism,https://www.treccani.it/enciclopedia/citizen-journalism_(Lessico-del-XXI-Secolo)/,10
journalism,https://www.journalism.co.uk/,11
journalism,https://www.journalismfestival.com/,12
journalism,https://fom.coe.int/,13
journalism,https://www.unibo.it/it/didattica/insegnamenti/insegnamento/2022/454530,1
journalism,https://earthjournalism.net/,2
journalism,https://www.ascuoladiopencoesione.it/it/didattica/1920/lezione-2/cos%27%C3%A8-data-journalism,3
journalism,https://www.topuniversities.com/universities/italy/journalism?country=[IT]&subjects=[3314],4
journalism,https://www.internationalstudent.com/study-journalism/what-is-journalism/,5
journalism,https://mundusjournalism.com/,6
journalism,https://ethicaljournalismnetwork.org/,7
journalism,https://www.robertniles.com/journalism/,8
journalism,https://www.hoeplieditore.it/hoepli-catalogo/articolo/seo-journalism-salvatore-russo/9788820386153/1422,9
journalism,https://ejc.net/,10
journalism,https://www.mdpi.com/journal/journalmedia,11
journalism,https://erc.europa.eu/apply-grant/science-journalism-initiative,12
journalism,https://www.prospects.ac.uk/careers-advice/what-can-i-do-with-my-degree/journalism,13
journalism,https://media.illinois.edu/journalism,14
copywriting,https://en.wikipedia.org/wiki/Copywriting,1
copywriting,https://www.awai.com/what-is-copywriting/,2
copywriting,https://blog.hubspot.com/marketing/good-copywriting-practices-list,3
copywriting,https://neilpatel.com/blog/ultimate-guide-to-copywriting/,4
copywriting,https://www.fiverr.com/resources/guides/writing-and-copywriting/what-is-copywriting,5
copywriting,https://www.viliamas.com/kas-yra-copywriting/,6
copywriting,https://copyblogger.com/copywriting-101/,7
copywriting,https://backlinko.com/copywriting-guide,8
copywriting,https://greatcontent.com/what-is-copywriting/,9
copywriting,https://www.copywriting.com/,10
copywriting,https://smartblogger.com/how-to-become-a-copywriter/,11
copywriting,https://www.youtube.com/watch?v=p_kK-HK0Wv8,12
copywriting,https://www.grammarly.com/blog/what-is-copywriting/,13
copywriting,https://blog.waalaxy.com/copywriting-definition/,1
copywriting,https://www.les-mots-magiques.com/ecrire-mieux-vendre-plus/se-former-au-copywriting-les-10-regles-a-respecter,2
copywriting,https://creative-copywriting.fr/le-copywriting/,3
copywriting,https://audreytips.com/glossaire-web/copywriting/,4
copywriting,https://vlad-cerisier.fr/copywriter-metier/,5
copywriting,https://her-business.fr/10-techniques-de-copywriting-ultra-puissantes/,6
copywriting,https://lesmakers.fr/statistique-copywriting/,7
copywriting,https://www.conseilsmarketing.com/promotion-des-ventes/les-livres-pour-apprendre-le-copywriting/,8
copywriting,https://www.merci-app.com/article/copywriting,9
copywriting,https://www.technique-de-vente.com/copywriting-3-techniques-de-copywriter-booster-ventes/,10
copywriting,https://apollomarketing.fr/services/copywriting/,11
copywriting,https://systememarketing.com/conversion/avis-copywriting-france.html,12
copywriting,https://www.sitew.com/Comment-developper-son-entreprise-en-ligne/copywriting-marketing,13
technical writing,https://developers.google.com/tech-writing,1
technical writing,https://en.wikipedia.org/wiki/Technical_writing,2
technical writing,https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,3
technical writing,https://www.instructionalsolutions.com/blog/become-a-technical-writer,4
technical writing,https://www.freecodecamp.org/news/how-to-become-a-technical-writer/,5
technical writing,https://whatfix.com/blog/technical-writing-examples/,6
technical writing,https://about.gitlab.com/handbook/product/ux/technical-writing/fundamentals/,7
technical writing,https://learn.saylor.org/course/ENGL210,8
technical writing,https://techwhirl.com/what-is-technical-writing/,9
technical writing,https://money.usnews.com/careers/best-jobs/technical-writer,10
technical writing,https://www.fiverr.com/resources/guides/writing-and-copywriting/what-is-technical-writing,11
technical writing,https://gathercontent.com/blog/7-best-technical-writing-examples-to-improve-your-skills,12
translation,https://translate.google.fr/?hl=fr,1
translation,https://www.larousse.fr/dictionnaires/francais/translation/79166,2
translation,https://www.cnrtl.fr/definition/translation,3
translation,https://fr.wikipedia.org/wiki/Translation,4
translation,https://www.deepl.com/fr/translator,5
translation,https://www.lumni.fr/video/c-est-quoi-une-translation,6
translation,https://fr.wiktionary.org/wiki/translation,7
translation,https://dictionnaire.lerobert.com/definition/translation,8
translation,https://cloud.google.com/translate/?hl=fr,9
translation,https://www.reverso.net/traduction-texte,10
translation,https://www.wordreference.com/enfr/translation,11
translation,https://dictionary.cambridge.org/fr/dictionnaire/anglais-francais/translation,12
translation,https://www.lalanguefrancaise.com/dictionnaire/definition/translation,13
translation,https://fr.bab.la/dictionnaire/anglais-francais/translation,14
translation,https://www.genome.gov/genetics-glossary/Translation,1
translation,https://translate.yandex.com/,2
translation,https://www.translate.com/,3
translation,https://en.wikipedia.org/wiki/Translation_(geometry),4
translation,https://joint-research-centre.ec.europa.eu/language-technology-resources/dgt-translation-memory_en,5
translation,https://www.bing.com/translator,6
translation,https://phrase.com/,7
translation,https://www.smartling.com/,8
translation,https://chrome.google.com/webstore/detail/google-translate/aapbdbdomjkkjkaonfhkkikfgjllcleb,9
translation,https://translations.telegram.org/,10
translation,https://quillbot.com/translate,11
translation,https://itranslate.com/,12
translation,https://www.translationllc.com/,13
translation,https://aws.amazon.com/translate/,14
language learning,https://onlinelibrary.wiley.com/journal/14679922,1
language learning,https://www.duolingo.com/,2
language learning,https://nymag.com/strategist/article/how-to-learn-languages-at-home.html,3
language learning,https://learningcenter.unc.edu/tips-and-tools/learning-a-second-language/,4
language learning,https://www.busuu.com/,5
language learning,https://www.loecsen.com/,6
language learning,https://www.learnalanguage.com/,7
language learning,https://www.babbel.com/,8
language learning,https://edoc.coe.int/en/394-language-learning,9
language learning,https://learnenglish.britishcouncil.org/general-english/audio-zone/learning-languages,10
language learning,https://www.openculture.com/freelanguagelessons,11
language learning,https://www.univ-tln.fr/-Language-Learning-.html,12
language learning,https://preply.com/,13
personal finance,https://personal-finance.bnpparibas/,1
personal finance,https://www.jobpreview.bnpparibas/questions/2122630-personal-finance-bnp-paribas,2
personal finance,https://fr.linkedin.com/company/bnp-paribas-personal-finance,3
personal finance,https://www.cetelem.fr/fr/mentions-legales/etablissements-bancaires,4
